date,open,high,low,close,volume,symbol
2025-06-02,45.944593077825665,46.07094668554148,44.242480862137135,45.745071229516846,772348.0,603529.SH
2025-06-03,45.785739251435196,46.55058231040146,45.37408472083228,45.971532807151036,1104605.0,603529.SH
2025-06-04,44.17462328008085,45.00088466301592,43.67160728992476,44.648769937915,753173.0,603529.SH
2025-06-05,47.404439103680545,47.647450358811255,46.03573926353951,47.368819223261085,953486.0,603529.SH
2025-06-06,44.506287287330856,44.89142488487119,43.698848628150714,44.29578842109757,908512.0,603529.SH
2025-06-09,44.41384554401395,45.29339505009435,43.08773522773407,44.30487346078131,706855.0,603529.SH
2025-06-10,45.63045778459223,45.95158828139606,44.197251036964175,45.36294340734905,417344.0,603529.SH
2025-06-11,42.69972964590909,42.77309195229865,41.62513769782108,42.41262325123045,687543.0,603529.SH
2025-06-12,43.134118740909244,43.871672482282186,43.13072600541496,43.48075331949836,862849.0,603529.SH
2025-06-13,43.6482145739886,43.94288288806064,43.23026534389881,43.63796388671818,517540.0,603529.SH
2025-06-16,46.946522882511246,47.299274567902884,46.86181095810881,47.19847315338233,754845.0,603529.SH
2025-06-17,45.21730158817674,45.69996115653442,44.34045013116031,45.10129230703188,515051.0,603529.SH
2025-06-18,43.8445138141867,45.03020800123295,43.62596161985339,44.183425913212226,822184.0,603529.SH
2025-06-19,43.11156143711405,44.28036648321203,43.03675772556856,43.273509633866546,875139.0,603529.SH
2025-06-20,44.3590713451687,44.40399720217853,42.73588682683817,44.09904196512179,741662.0,603529.SH
2025-06-23,44.484470269768515,44.650595843687356,43.4547832047341,44.097440081655904,1170455.0,603529.SH
2025-06-24,45.124898420668025,46.05128882080255,44.32872386224958,44.9797541628931,588458.0,603529.SH
2025-06-25,46.3924112576884,47.12895421887541,45.014118764953054,46.23381736815478,555832.0,603529.SH
2025-06-26,45.04520867995652,46.69936034317838,44.863176373796094,45.313295392507136,408066.0,603529.SH
