stock_code,stock_name,pattern_index,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
603125,603125_data,1,2023-05-26 00:00:00,2023-06-09 00:00:00,32.6326,30.021991999999997,-8.225,10,移动止盈,2023-05-25 00:00:00,2023-05-24 00:00:00,32.88,2023
600624,600624_data,1,2020-02-19 00:00:00,2020-02-28 00:00:00,10.450439999999999,10.0648,-3.915179552248506,7,移动止盈,2020-02-18 00:00:00,2020-02-13 00:00:00,10.67,2020
600116,600116_data,1,2020-02-26 00:00:00,2020-03-04 00:00:00,7.8978899999999985,8.7676,10.786928502422818,5,移动止盈,2020-02-25 00:00:00,2020-02-24 00:00:00,8.06,2020
002332,002332_data,1,2020-03-05 00:00:00,2020-03-13 00:00:00,11.10109,10.6536,-4.25604560002665,6,移动止盈,2020-03-04 00:00:00,2020-03-03 00:00:00,10.84,2020
002332,002332_data,2,2021-04-16 00:00:00,2021-05-12 00:00:00,13.753739999999999,13.6988,-0.6244549846078118,15,移动止盈,2021-04-15 00:00:00,2021-04-14 00:00:00,13.54,2021
601618,601618_data,1,2020-02-28 00:00:00,2020-03-02 00:00:00,2.66266,2.7508000000000004,3.085223610975511,1,移动止盈,2020-02-27 00:00:00,2020-02-26 00:00:00,2.73,2020
603290,603290_data,1,2020-03-12 00:00:00,2020-03-16 00:00:00,143.14299999999997,131.69155999999998,-8.224999999999994,2,移动止盈,2020-03-11 00:00:00,2020-03-04 00:00:00,135.87,2020
603290,603290_data,2,2020-05-19 00:00:00,2020-05-21 00:00:00,164.36419999999998,151.21506399999998,-8.225,2,移动止盈,2020-05-18 00:00:00,2020-05-14 00:00:00,166.0,2020
600231,600231_data,1,2020-02-14 00:00:00,2020-03-13 00:00:00,2.39239,2.3184,-3.317723176405176,20,移动止盈,2020-02-13 00:00:00,2020-02-10 00:00:00,2.43,2020
600765,600765_data,1,2020-02-25 00:00:00,2020-02-28 00:00:00,10.02001,9.586400000000001,-4.5524407909772355,3,移动止盈,2020-02-24 00:00:00,2020-02-18 00:00:00,10.22,2020
