stock_code,stock_name,pattern_index,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
603125,603125_data,1,2023-05-26 00:00:00,2023-06-09 00:00:00,32.6326,30.021991999999997,-8.225,10,移动止盈,2023-05-25 00:00:00,2023-05-24 00:00:00,32.88,2023
603290,603290_data,1,2020-03-12 00:00:00,2020-03-16 00:00:00,143.14299999999997,131.69155999999998,-8.224999999999994,2,移动止盈,2020-03-11 00:00:00,2020-03-04 00:00:00,135.87,2020
603290,603290_data,2,2020-05-19 00:00:00,2020-05-21 00:00:00,164.36419999999998,151.21506399999998,-8.225,2,移动止盈,2020-05-18 00:00:00,2020-05-14 00:00:00,166.0,2020
603406,603406_data,1,2025-09-30 00:00:00,2025-10-27 00:00:00,46.546499999999995,46.46,-0.4108356697066242,13,移动止盈,2025-09-29 00:00:00,2025-09-25 00:00:00,46.64,2025
001203,001203_data,1,2021-07-07 00:00:00,2021-07-20 00:00:00,20.380359999999996,21.012800000000002,2.8781836532819156,9,移动止盈,2021-07-06 00:00:00,2021-07-05 00:00:00,20.99,2021
603995,603995_data,1,2020-02-13 00:00:00,2020-02-28 00:00:00,23.333309999999997,21.978800000000003,-6.030048662191495,11,移动止盈,2020-02-12 00:00:00,2020-02-11 00:00:00,24.0,2020
603073,603073_data,1,2023-05-19 00:00:00,2023-05-25 00:00:00,20.300279999999997,20.396400000000003,0.2484910060354153,4,移动止盈,2023-05-18 00:00:00,2023-05-12 00:00:00,20.2,2023
603072,603072_data,1,2025-03-05 00:00:00,2025-03-19 00:00:00,39.07903999999999,38.382400000000004,-2.007643585922244,10,移动止盈,2025-03-04 00:00:00,2025-02-28 00:00:00,40.0,2025
600916,600916_data,1,2021-03-31 00:00:00,2021-04-02 00:00:00,17.48747,18.381600000000002,4.887975175940283,2,移动止盈,2021-03-30 00:00:00,2021-03-19 00:00:00,18.1,2021
601528,601528_data,1,2021-08-20 00:00:00,2021-08-27 00:00:00,11.781769999999998,10.839228399999998,-8.225000000000003,5,移动止盈,2021-08-19 00:00:00,2021-08-18 00:00:00,12.43,2021
001268,001268_data,1,2022-08-18 00:00:00,2022-08-24 00:00:00,29.909879999999994,27.517089599999995,-8.225,4,移动止盈,2022-08-17 00:00:00,2022-08-11 00:00:00,29.42,2022
001328,001328_data,1,2023-05-30 00:00:00,2023-06-09 00:00:00,36.1361,35.50280000000001,-1.9775410877211193,8,移动止盈,2023-05-29 00:00:00,2023-05-19 00:00:00,36.11,2023
603565,603565_data,1,2020-11-11 00:00:00,2020-12-09 00:00:00,25.085059999999995,23.078255199999997,-8.224999999999993,20,移动止盈,2020-11-10 00:00:00,2020-11-05 00:00:00,25.32,2020
001287,001287_data,1,2023-06-02 00:00:00,2023-06-26 00:00:00,30.560529999999996,31.519199999999998,2.9119547583108063,14,移动止盈,2023-06-01 00:00:00,2023-05-30 00:00:00,31.32,2023
603170,603170_data,1,2022-08-31 00:00:00,2022-09-05 00:00:00,27.46744,26.376400000000004,-4.197121173287339,3,移动止盈,2022-08-30 00:00:00,2022-08-29 00:00:00,27.62,2022
603194,603194_data,1,2025-02-11 00:00:00,2025-03-25 00:00:00,37.1371,36.89,-0.8903723634855606,30,到期卖出,2025-02-10 00:00:00,2025-02-07 00:00:00,37.43,2025
001218,001218_data,1,2021-12-03 00:00:00,2022-01-17 00:00:00,44.55450999999999,45.36,1.5828753419126504,30,到期卖出,2021-12-02 00:00:00,2021-12-01 00:00:00,45.79,2021
603325,603325_data,1,2024-03-12 00:00:00,2024-03-25 00:00:00,75.49542,71.91640000000001,-4.96571142328897,9,移动止盈,2024-03-11 00:00:00,2024-03-08 00:00:00,75.5,2024
001227,001227_data,1,2022-03-18 00:00:00,2022-03-28 00:00:00,5.92592,5.630400000000001,-5.211904986904969,6,移动止盈,2022-03-17 00:00:00,2022-03-09 00:00:00,5.87,2022
603310,603310_data,1,2024-10-11 00:00:00,2024-10-30 00:00:00,18.43842,16.963346400000002,-8.22499999999999,13,移动止盈,2024-10-10 00:00:00,2024-09-30 00:00:00,18.5,2024
603176,603176_data,1,2022-02-15 00:00:00,2022-02-16 00:00:00,12.212199999999998,12.548800000000002,2.531260133309349,1,移动止盈,2022-02-14 00:00:00,2022-02-10 00:00:00,13.31,2022
603296,603296_data,1,2023-10-13 00:00:00,2023-11-24 00:00:00,75.88580999999999,76.52560000000001,0.6180956986556765,30,移动止盈,2023-10-12 00:00:00,2023-10-11 00:00:00,74.6,2023
603155,603155_data,1,2020-10-14 00:00:00,2020-11-02 00:00:00,37.6376,35.558,-5.750325738091694,13,移动止盈,2020-10-13 00:00:00,2020-10-12 00:00:00,37.4,2020
603400,603400_data,1,2025-08-14 00:00:00,2025-08-25 00:00:00,61.60153999999999,66.01,6.93141199879096,7,移动止盈,2025-08-13 00:00:00,2025-08-05 00:00:00,60.5,2025
002987,002987_data,1,2020-06-16 00:00:00,2020-07-08 00:00:00,55.45539999999999,64.492,16.070257089480943,14,移动止盈,2020-06-15 00:00:00,2020-06-11 00:00:00,55.03,2020
601778,601778_data,1,2020-07-08 00:00:00,2020-07-15 00:00:00,8.21821,8.280000000000001,0.52686689072197,5,移动止盈,2020-07-07 00:00:00,2020-07-06 00:00:00,8.32,2020
605028,605028_data,1,2021-08-26 00:00:00,2021-08-27 00:00:00,25.77575,23.71369,-8.224999999999996,1,移动止盈,2021-08-25 00:00:00,2021-08-24 00:00:00,25.06,2021
603112,603112_data,1,2020-11-20 00:00:00,2020-12-11 00:00:00,12.93292,12.2084,-5.827137800280216,15,移动止盈,2020-11-19 00:00:00,2020-11-11 00:00:00,13.23,2020
603375,603375_data,1,2024-03-26 00:00:00,2024-03-27 00:00:00,55.605549999999994,51.157106,-8.224999999999993,1,移动止盈,2024-03-25 00:00:00,2024-03-19 00:00:00,54.4,2024
001390,001390_data,1,2025-07-10 00:00:00,2025-08-21 00:00:00,24.18416,25.58,5.546711731976632,30,到期卖出,2025-07-09 00:00:00,2025-07-08 00:00:00,24.97,2025
603201,603201_data,1,2022-09-16 00:00:00,2022-09-23 00:00:00,39.049009999999996,38.13400000000001,-2.568234822086368,5,移动止盈,2022-09-15 00:00:00,2022-09-14 00:00:00,40.15,2022
001207,001207_data,1,2021-08-13 00:00:00,2021-08-17 00:00:00,23.19317,26.9468,15.959204229089863,2,移动止盈,2021-08-12 00:00:00,2021-08-11 00:00:00,23.61,2021
001238,001238_data,1,2022-11-09 00:00:00,2022-11-14 00:00:00,28.618589999999998,28.106,-2.0161085067433295,3,移动止盈,2022-11-08 00:00:00,2022-11-07 00:00:00,28.74,2022
605369,605369_data,1,2020-11-24 00:00:00,2020-11-27 00:00:00,67.63756999999998,62.22656439999999,-8.224999999999996,3,移动止盈,2020-11-23 00:00:00,2020-11-19 00:00:00,67.19,2020
605368,605368_data,1,2021-03-25 00:00:00,2021-03-30 00:00:00,17.48747,16.6704,-4.897316807405518,3,移动止盈,2021-03-24 00:00:00,2021-03-23 00:00:00,18.76,2021
603271,603271_data,1,2025-04-22 00:00:00,2025-04-28 00:00:00,37.367329999999995,36.698800000000006,-2.014076179646739,4,移动止盈,2025-04-21 00:00:00,2025-04-18 00:00:00,38.68,2025
001319,001319_data,1,2022-06-28 00:00:00,2022-07-04 00:00:00,30.330299999999998,27.903876,-8.224999999999993,4,移动止盈,2022-06-27 00:00:00,2022-06-22 00:00:00,30.47,2022
603191,603191_data,1,2022-06-21 00:00:00,2022-06-29 00:00:00,20.21019,23.818800000000003,17.630398687493795,6,移动止盈,2022-06-20 00:00:00,2022-06-17 00:00:00,20.66,2022
001267,001267_data,1,2021-12-28 00:00:00,2021-12-29 00:00:00,8.008,7.36736,-8.224999999999994,1,移动止盈,2021-12-27 00:00:00,2021-12-20 00:00:00,9.03,2021
001380,001380_data,1,2023-06-27 00:00:00,2023-07-06 00:00:00,31.54151,31.399600000000003,-0.6749150484551811,7,移动止盈,2023-06-26 00:00:00,2023-06-19 00:00:00,30.9,2023
001289,001289_data,1,2022-03-08 00:00:00,2022-03-14 00:00:00,28.248219999999996,27.6276,-2.422023387668304,4,移动止盈,2022-03-07 00:00:00,2022-03-04 00:00:00,27.88,2022
605337,605337_data,1,2021-03-23 00:00:00,2021-03-24 00:00:00,34.31428,34.2424,-0.4344754720192091,1,移动止盈,2021-03-22 00:00:00,2021-03-19 00:00:00,34.71,2021
605336,605336_data,1,2020-12-01 00:00:00,2020-12-08 00:00:00,33.643609999999995,31.51,-6.56679863575875,5,移动止盈,2020-11-30 00:00:00,2020-11-27 00:00:00,34.79,2020
